hotel_name,longitude_latitude
The Land of Legends Kingdom Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.875915,31.006025&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=wPObkSKKVXxsscLPW81D4SSO8lo="");"
Mersin HiltonSA,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.783084,34.612662&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=W6gLqe_x6lVoWMdL1yMZ_I1oedo="");"
The Land of Legends Kingdom Hotel,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.875915,31.006025&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=wPObkSKKVXxsscLPW81D4SSO8lo="");"
Haydarpasha Palace,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.596492,31.810947&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=sflTkKaInM0zSuPVDFSvAJn-f-c="");"
GLK PREMIER Regency Suites & Spa,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.005535,28.980242&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=7uCSeXe0Y70qLDHo02kWuRQKayI="");"
Innova Sultanahmet Istanbul,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.006753,28.970668&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=_cf0zwSpOnIcRaHDa9qnMPghkeI="");"
Niles Hotel Istanbul - Special Class,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.008087,28.964815&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=22UL8Yl9slZL1Ls6f9Y3WbgwKg4="");"
ibis Adana,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C36.99197,35.321476&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=VuUyqubYTN1580AHW50f2-GB_g0="");"
GLK PREMIER Sea Mansion Suites & Spa,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.003022,28.975904&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=phqwHEZkNk3b0lEG0jZWSDCkP_w="");"
GLK PREMIER The Home Suites & Spa,"background-image: url(""https://maps.googleapis.com/maps/api/staticmap?channel=expedia-HotelInformation&maptype=roadmap&format=jpg&zoom=13&scale=&size=600x120&markers=icon:https://a.travel-assets.com/shopping-pwa/images/his-preview-marker.png%7C41.003097,28.973498&key=AIzaSyCVXTpQib1jqNNPbvqRdo3kIYT4zC6nEK8&signature=aDEASvG97kdi-jXX0YXgaCkJbVU="");"
